image_name,ground_truth,plate_detected,num_characters_segmented,predicted_plate
1.jpg,0478LFR,True,7,0478LFR
10.jpg,5796DKP,True,7,5796DKP
11.jpg,1556GMZ,True,7,1556GMZ
12.jpg,0182GLK,True,7,0182GLK
13.jpg,3044JMB,True,7,8044JMB
14.jpg,5789JHB,True,7,5789JHB
15.jpg,6929LKK,True,7,6929LKK
16.jpg,3660CRT,True,7,3660CRT
17.jpg,6000GVT,True,7,6000GVT
18.jpg,3587DCX,True,7,3587DCY
19.jpg,1498JBZ,True,7,1498JBZ
2.jpg,5440NSA,True,1,8440NSH
20.jpg,2344KJP,True,7,2344KJP
21.jpg,0907JRF,True,0,0907JRF
22.jpg,6554BNX,True,7,6554BNX
23.jpg,6401JBX,True,0,6401JBX
24.jpg,8727JTC,True,7,8727JTC
25.jpg,5275HGY,True,7,5275HGY
26.jpg,8954LVD,True,3,8954LVD
27.jpg,4674FHC,True,7,F467LFH
28.jpeg,1258GBP,True,7,1258GBP
29.jpeg,1258GBP,True,7,1258GBP
3.jpg,3522JXV,True,7,3522JXV
30.jpeg,1258GBP,True,7,1258GBP
31.jpeg,8733MKB,True,7,8733MKB
32.jpeg,8958NBC,True,7,8958NBC
33.jpeg,3384KHL,True,7,3384KHL
34.jpeg,6661CHH,True,0,8661CHH
35.jpeg,6200CVH,True,7,6200CVH
36.jpeg,0215JSG,True,7,0215JSG
37.jpeg,5119LGC,True,7,1190LGC
38.jpeg,7314DMP,True,7,7314DHP
39.jpeg,4971KKK,True,0,4971KKK
4.jpg,0580JXL,True,7,0580JXL
40.jpeg,0360KDR,True,7,0360KDR
41.jpeg,2387KJW,True,7,2387KJW
42.jpeg,8340MNS,True,7,8340MNS
43.jpeg,3577MPX,True,7,8577MPX
44.jpeg,1988MRK,True,7,9885MRK
45.jpeg,5599KGS,True,7,5599KGS
46.jpeg,2994GXT,True,7,2994GXT
47.jpeg,5511LMY,True,7,5511LMY
48.jpeg,6821GVX,True,7,QL56
49.jpeg,0191GNL,True,7,0191GNL
5.jpg,3676JRD,True,2,3676JRD
50.jpeg,2889KXK,True,7,2889KXK
6.jpg,3245LCX,True,7,3245LCX
7.jpeg,9998ZZZ,True,7,9998ZZZ
8.png,1368DRH,True,7,1368DRH
9.jpg,0958KCJ,True,0,0958KCJ
